Triangulated,Connected,Graph
true,true,"[[1,2,3,4],[0,3,4],[0,3],[0,1,2,4],[0,1,3]]"
false,true,"[[1,2,4],[0,3,4],[0,3,4],[1,2],[0,1,2]]"
true,true,"[[1,2,3,4],[0,2,3,4],[0,1,3,4],[0,1,2,4],[0,1,2,3]]"
true,true,"[[2,3,4],[2,4],[0,1,3,4],[0,2,4],[0,1,2,3]]"
true,true,"[[3,4],[2,3,4],[1,3,4],[0,1,2,4],[0,1,2,3]]"
true,true,"[[1,2,3,4],[0,2,3,4],[0,1,3,4],[0,1,2,4],[0,1,2,3]]"
false,true,"[[1,2,3],[0,2,3,4],[0,1,3],[0,1,2],[1]]"
true,true,"[[1,2,4],[0,2,4],[0,1,3,4],[2,4],[0,1,2,3]]"
true,true,"[[1,2,3,4],[0,2,3,4],[0,1,3,4],[0,1,2,4],[0,1,2,3]]"
true,true,"[[1,2,3,4],[0,2,3],[0,1,3,4],[0,1,2,4],[0,2,3]]"
