Triangulated,Connected,Graph
false,true,"[[2,4,19,20,24,45,46],[6,13,16,24,25,36,37],[0,14,29,37,40,42,43,44],[4,18,25,36,39],[0,3,6,7,9,14,28,31,34],[16,24,27,28,30,33,47],[1,4,20,24,29,30,33,44],[4],[16,32],[4,21],[15,17,18,20,23,31,36],[14,15,16,21,22,26,29,32,33,41,43,45],[13,14,34,36,40,45],[1,12,14,23,27,31,33,41],[2,4,11,12,13,17,22,26,32,39],[10,11,24,29,33,36,41,42],[1,5,8,11,20,27,33,34,47],[10,14,19,20,38,39,40,47],[3,10,32,37],[0,17,25,37,44],[0,6,10,16,17,25,26,37,39,45],[9,11,29,34,38,42],[11,14,34],[10,13,26,37],[0,1,5,6,15,26,27,30,35,38,39,43],[1,3,19,20,39],[11,14,20,23,24,29,32,45],[5,13,16,24,30,32],[4,5,30,37,41,45],[2,6,11,15,21,26,34,47],[5,6,24,27,28,31,42],[4,10,13,30,44],[8,11,14,18,26,27,34],[5,6,11,13,15,16,35],[4,12,16,21,22,29,32],[24,33,39],[1,3,10,12,15,37,42,43],[1,2,18,19,20,23,28,36,46],[17,21,24],[3,14,17,20,24,25,35,47],[2,12,17],[11,13,15,28],[2,15,21,30,36],[2,11,24,36],[2,6,19,31],[0,11,12,20,26,28],[0,37],[5,16,17,29,39]]"
false,true,"[[6,18,28,35],[9,11,17,20,36,45,47],[4,13,17,18,29,38,41],[8,9,22,27,34,46],[2,15,21,23,33],[24,28,39],[0,14,16,17,21],[8,18,31,46],[3,7,12,17,19,28,33,41,46],[1,3,12,13,14,23,27,38,43,44],[18,20,29,44],[1,26,30],[8,9,23,25,28,30,35,36],[2,9,21,37],[6,9,18,20,22,29,30,32,36,44],[4,21,33],[6,17,21,24,30,34,45],[1,2,6,8,16,24,27,44],[0,2,7,10,14,21,27],[8,26,33,34,42,46],[1,10,14,22,27,31,33,36],[4,6,13,15,16,18,28,34,45],[3,14,20,24,25,28,34],[4,9,12,24,37],[5,16,17,22,23,27,39],[12,22],[11,19],[3,9,17,18,20,24,30,33,45],[0,5,8,12,21,22,38],[2,10,14,41,42],[11,12,14,16,27,34],[7,20,37,39,45,46],[14,37,47],[4,8,15,19,20,27,37,46],[3,16,19,21,22,30,43],[0,12,43],[1,12,14,20,37,38,42],[13,23,31,32,33,36,46],[2,9,28,36,40,41,44],[5,24,31],[38,46],[2,8,29,38,47],[19,29,36,43,46],[9,34,35,42],[9,10,14,17,38,47],[1,16,21,27,31],[3,7,8,19,31,33,37,40,42],[1,32,41,44]]"
false,true,"[[5,7,16,19,24,33,38,39,45],[25,29,30,31,38],[14,22,23,26,32,36,39,47],[10],[20,22,46],[0,12,13,14,16,47],[24,47],[0,9,11,44],[9,16,18,20,21,23,45],[7,8,10,14,17,23,26,41,47],[3,9,12,13,21,23,27,28,32,39],[7,15,19,27,34,39,46],[5,10,19,20,29,36,40,45],[5,10,23,27,42,43],[2,5,9,22,31],[11,16,30,31,32],[0,5,8,15,22,23,28,44],[9,18,19,28,35,45],[8,17,22,31,43],[0,11,12,17,45],[4,8,12,29,30],[8,10,29,33,36,41],[2,4,14,16,18,24,28,38,45],[2,8,9,10,13,16,26,29,32,33,41],[0,6,22,39,41,43],[1,26,27,31,44],[2,9,23,25,31,32,36,37,38,40,42,46],[10,11,13,25,29,31,33,35,36,37,43,47],[10,16,17,22,31,33],[1,12,20,21,23,27,35],[1,15,20,40,42,43,45,46],[1,14,15,18,25,26,27,28,37,43],[2,10,15,23,26,40,45,46],[0,21,23,27,28,35,39,40,42],[11,36,38,39,40],[17,27,29,33,47],[2,12,21,26,27,34,42],[26,27,31],[0,1,22,26,34,41,43,46,47],[0,2,10,11,24,33,34,47],[12,26,30,32,33,34],[9,21,23,24,38,42,46],[13,26,30,33,36,41,43],[13,18,24,27,30,31,38,42,44],[7,16,25,43],[0,8,12,17,19,22,30,32,47],[4,11,26,30,32,38,41],[2,5,6,9,27,35,38,39,45]]"
false,true,"[[1,4,12,33,39],[0,3,7,21,35],[5,23,33,37,41,43],[1,9,18,24,43,44],[0,5,6,10,11,20,21,28,47],[2,4,8,19,20,21,23,33],[4,8,22,26,32,34,42],[1,17,20],[5,6,14,18,20,33,39],[3,10,14,15,18,20,28,40,45],[4,9,11,13,16,26,27,28,33,35],[4,10,13,22,27,29,43],[0,21,22,28,29,32,33,41,43],[10,11,17,22],[8,9,31,37,39],[9,16,20,21,35],[10,15,17,27,34,41,42],[7,13,16,27,36,44],[3,8,9,26,43],[5,27,33,34,42],[4,5,7,8,9,15,26,32,35,43],[1,4,5,12,15,29,31,33,47],[6,11,12,13,26],[2,5,33,40],[3,25,33,34,43,46],[24,40,42,43],[6,10,18,20,22,37],[10,11,16,17,19,36,42,45],[4,9,10,12,36],[11,12,21,45],[43],[14,21,34,42],[6,12,20,43],[0,2,5,8,10,12,19,21,23,24,34,35,44],[6,16,19,24,31,33,35,37,38,41],[1,10,15,20,33,34,40],[17,27,28,37,41,42,45],[2,14,26,34,36,47],[34,41,43,44],[0,8,14],[9,23,25,35],[2,12,16,34,36,38],[6,16,19,25,27,31,36],[2,3,11,12,18,20,24,25,30,32,38],[3,17,33,38,45],[9,27,29,36,44,47],[24],[4,21,37,45]]"
false,false,"[[1,4,5,8,9,14,21,25,26,36,37],[0,8,11,16,29,34,42],[4,10,15,24,28,45],[4,7,18,23,26,27,28,35,36],[0,2,3,32,35,42],[0,9,10,18,33,45,46],[10,12,35],[3,17,30,37,44],[0,1,24,25,29,35,38,40],[0,5,10,19,28,29,30,34,45,46,47],[2,5,6,9,15,18,24,27,33],[1,34],[6,13,17,21,30,38,39,42,45,47],[12,16,40],[0,19,35,36,41,42],[2,10,17,26],[1,13,18,32,34,37,44],[7,12,15,31,34,37,40],[3,5,10,16,28,36,40,47],[9,14,39,47],[29,32,34],[0,12,31,37],[38,39],[3,26,41,44],[2,8,10,38,41,42],[0,8,27,30],[0,3,15,23,45,47],[3,10,25,28,31,47],[2,3,9,18,27,31,37],[1,8,9,20],[7,9,12,25,32,35,38,40,45,46,47],[17,21,27,28,33,44,47],[4,16,20,30,34],[5,10,31,35,36],[1,9,11,16,17,20,32,41,47],[3,4,6,8,14,30,33,38],[0,3,14,18,33,40,41],[0,7,16,17,21,28],[8,12,22,24,30,35],[12,19,22],[8,13,17,18,30,36,42],[14,23,24,34,36,45],[1,4,12,14,24,40,47],[],[7,16,23,31],[2,5,9,12,26,30,41],[5,9,30],[9,12,18,19,26,27,30,31,34,42]]"
false,true,"[[3,17,25,27,40,43,47],[29,37],[16,17,22,35],[0,15,21,25,32,38],[7,11,19,21,22,28,34,42],[8,18,32,36,44],[12,17,27,30,39],[4,8,19,20,27,29,34,37,42],[5,7,25,30,31,33,39,43],[27,37],[14,21,35,37],[4,12,13,35,40],[6,11,16,17,26,27,34,38,40,41],[11,25,36,41,46],[10,20,32,44],[3,24,36],[2,12,19,28,37,42,47],[0,2,6,12,26,28,35,41,47],[5,25,37,39,41],[4,7,16,20,23,29,40,42],[7,14,19,22,26],[3,4,10,22,23,24,33,38,40],[2,4,20,21,35,36,39,40],[19,21,25,26,36,38,45],[15,21,26,40],[0,3,8,13,18,23,36],[12,17,20,23,24,27,41,45],[0,6,7,9,12,26,41,43],[4,16,17,31,38,47],[1,7,19,33,47],[6,8,43,47],[8,28],[3,5,14],[8,21,29,37,47],[4,7,12],[2,10,11,17,22,36,37],[5,13,15,22,23,25,35],[1,7,9,10,16,18,33,35,38],[3,12,21,23,28,37,44],[6,8,18,22,45],[0,11,12,19,21,22,24],[12,13,17,18,26,27,43],[4,7,16,19,46],[0,8,27,30,41,46],[5,14,38],[23,26,39],[13,42,43],[0,16,17,28,29,30,33]]"
false,true,"[[7,10,13,14,22,23,27,28,44],[17,18,21,26,31,41,44],[21,25,29,43,45],[22,23,25,31,33,37,41],[5,36,41,46],[4,7,18,34,36,38,42,46,47],[16,24,36],[0,5,9,34],[10,11,14],[7,13,22,33,35],[0,8,13,16,24,25,27,36],[8,13,23,25,42,43],[14,16,19,25,34],[0,9,10,11,35,46,47],[0,8,12,15,21,23,37],[14,32],[6,10,12,17,19,21,47],[1,16,29,45,47],[1,5,21,29,31,35],[12,16,28,39],[22,35,38,39,41,43,46],[1,2,14,16,18,28,33,34,35],[0,3,9,20,30,32,39,40,44],[0,3,11,14],[6,10,47],[2,3,10,11,12],[1,29,35,38],[0,10,42],[0,19,21,31,37,40,41],[2,17,18,26,34,43,44,47],[22,31,35,39,45],[1,3,18,28,30,41],[15,22],[3,9,21,46],[5,7,12,21,29,36,40,46],[9,13,18,20,21,26,30,36,40,44],[4,5,6,10,34,35,41],[3,14,28,41],[5,20,26,43],[19,20,22,30,41],[22,28,34,35,44],[1,3,4,20,28,31,36,37,39,43],[5,11,27,47],[2,11,20,29,38,41],[0,1,22,29,35,40],[2,17,30],[4,5,13,20,33,34],[5,13,16,17,24,29,42]]"
false,true,"[[17,25,30,42],[8,9,13,39,42],[9,19,35,40,44],[10,24,25,42,46],[16,26,35,43],[21,26,30,33,36,37],[9,11,13,14,17,26,36,46],[8,10],[1,7,9,10,19,23,26,38,41],[1,2,6,8,10,21,41,47],[3,7,8,9,14,24,37,46],[6,14,20,22,31,45,46],[16,17,26,31,33,39,40,46],[1,6,16,17,18,19,24,26,40,46],[6,10,11,47],[17,22,24,30],[4,12,13,21,25],[0,6,12,13,15,23,34,37,40],[13],[2,8,13,21],[11,29,36,37,42,47],[5,9,16,19,27,31,35,39,41,47],[11,15,24,39],[8,17,30,36,41,43,47],[3,10,13,15,22,36],[0,3,16,37,40],[4,5,6,8,12,13,37,38],[21,35],[32,35,39,47],[20,31,32,42],[0,5,15,23,41,43,47],[11,12,21,29,32,47],[28,29,31,39,45,47],[5,12,37,43,44],[17,36,38,41,43],[2,4,21,27,28,37,38],[5,6,20,23,24,34,42],[5,10,17,20,25,26,33,35,39,44,45],[8,26,34,35,40,43,47],[1,12,21,22,28,32,37],[2,12,13,17,25,38],[8,9,21,23,30,34],[0,1,3,20,29,36,46],[4,23,30,33,34,38],[2,33,37],[11,32,37],[3,6,10,11,12,13,42],[9,14,20,21,23,28,30,31,32,38]]"
false,true,"[[12,24,33,44],[37,39,40],[6,9,10,24,35],[12,18,35,36,41,46],[22,27,29,37],[8,28,30],[2,26,45],[11,22,28,35,36,42],[5,15,44],[2,18,27,31,37,41],[2,22,27,36,47],[7,13,17],[0,3,32,37],[11,24,25,35,43,46],[17,22,34,45],[8,17,25,27,31,35,37],[28,34,36],[11,14,15,19,21,36,37],[3,9,26,31,45],[17,28,37,39,43,45],[30,40,46],[17,23,28,33,43],[4,7,10,14,41,45,47],[21,29,35,39],[0,2,13,26,41,47],[13,15,31,43],[6,18,24,31,41],[4,9,10,15,28,33],[5,7,16,19,21,27],[4,23,31,40,44,47],[5,20,35,36,46],[9,15,18,25,26,29,33,35,44],[12,43,46],[0,21,27,31,40,41],[14,16,36,40,46],[2,3,7,13,15,23,30,31,45,46,47],[3,7,10,16,17,30,34],[1,4,9,12,15,17,19,38],[37,47],[1,19,23,47],[1,20,29,33,34,45,46],[3,9,22,24,26,33,44],[7,43],[13,19,21,25,32,42,45],[0,8,29,31,41,45],[6,14,18,19,22,35,40,43,44],[3,13,20,30,32,34,35,40],[10,22,24,29,35,38,39]]"
false,true,"[[22,27,31,34,47],[4,21,26],[4,21,22,24,25,43,44,46],[7,36,37,46],[1,2,11,34],[6,17,21,39],[5,9,23,31,33,34,43],[3,11,20,21,38],[12,22,39,45],[6,10,15,30,40],[9,20,39,41,45,46],[4,7,30,45,46],[8,39,45],[33,43],[23,26,41],[9,24,31,33,39,41],[22,34,40],[5,35],[31,36,37,43,47],[20,21,24,36,37,45,47],[7,10,19,29,30,33,37],[1,2,5,7,19,40],[0,2,8,16,26,27,45],[6,14,31,35,40,45],[2,15,19,31,39,42,44,47],[2,30,39],[1,14,22,27,29,47],[0,22,26,31,32,34],[30,35,45],[20,26,43,44],[9,11,20,25,28,38],[0,6,15,18,23,24,27],[27,38],[6,13,15,20,37,41,42,43,46],[0,4,6,16,27,39],[17,23,28],[3,18,19,45],[3,18,19,20,33,38],[7,30,32,37,44,45,46],[5,8,10,12,15,24,25,34,44,46,47],[9,16,21,23,41,47],[10,14,15,33,40,43,44],[24,33],[2,6,13,18,29,33,41,44],[2,24,29,38,39,41,43],[8,10,11,12,19,22,23,28,36,38],[2,3,10,11,33,38,39],[0,18,19,24,26,39,40]]"
